Waga,Wzrost,ObwodGlowy,ObwodTalii,ObwodBioder,Plec
67,174,57.5,83.8,93.0,0
81,190,63.6,92.3,104.2,0
58,160,52.0,76.5,85.5,1
58,160,52.0,76.5,85.5,1
60,164,53.0,78.0,87.5,1
67,172,56.0,82.5,92.0,0
64,170,55.0,80.5,89.5,1
61,166,54.0,79.0,88.5,1
84,190,63.0,92.0,104.0,0
74,182,60.3,88.0,98.5,0
63,168,55.0,80.0,89.0,1
86,194,65.2,93.8,106.0,0
59,162,52.3,77.0,86.0,1
88,196,66.0,94.5,107.0,0
79,186,62.0,90.5,102.0,0
70,174,57.0,83.5,92.5,0
65,168,54.5,79.5,88.5,1
82,192,64.0,92.0,105.0,0
75,180,59.7,87.0,97.8,0
83,188,63.2,91.5,103.0,0
60,164,53.0,78.0,87.5,1
67,172,56.0,82.5,92.0,0
64,170,55.0,80.5,89.5,1
78,184,61.8,89.0,100.0,0
72,176,58.5,85.0,94.5,0
66,172,56.2,82.0,91.7,0
69,176,58.2,84.2,94.2,0
80,188,63.5,92.0,104.5,0
61,166,54.0,79.0,88.5,1
84,190,63.0,92.0,104.0,0
74,182,60.3,88.0,98.5,0
63,168,55.0,80.0,89.0,1
86,194,65.2,93.8,106.0,0
59,162,52.3,77.0,86.0,1
65,168,54.5,79.5,88.5,1
82,192,64.0,92.0,105.0,0
68,174,57.5,83.8,93.0,0
81,190,63.6,92.3,104.2,0
58,160,52.0,76.5,85.5,1
77,182,61.0,88.0,98.6,0
71,176,58.0,84.5,94.0,0
73,178,59.3,86.0,97.0,0
75,180,59.7,87.0,97.8,0
83,188,63.2,91.5,103.0,0
60,164,53.0,78.0,87.5,1
67,172,56.0,82.5,92.0,0
64,170,55.0,80.5,89.5,1
61,166,54.0,79.0,88.5,1
84,190,63.0,92.0,104.0,0
74,182,60.3,88.0,98.5,0
63,168,55.0,80.0,89.0,1
86,194,65.2,93.8,106.0,0
59,162,52.3,77.0,86.0,1
88,196,66.0,94.5,107.0,0
79,186,62.0,90.5,102.0,0
70,174,57.0,83.5,92.5,0
65,168,54.5,79.5,88.5,1
82,192,64.0,92.0,105.0,0
67,174,57.5,83.8,93.0,0
81,190,63.6,92.3,104.2,0
58,160,52.0,76.5,85.5,1
60,164,53.0,78.0,87.5,1
67,172,56.0,82.5,92.0,0
64,170,55.0,80.5,89.5,1
78,184,61.8,89.0,100.0,0
72,176,58.5,85.0,94.5,0
66,172,56.2,82.0,91.7,0
69,176,58.2,84.2,94.2,0
80,188,63.5,92.0,104.5,0
61,166,54.0,79.0,88.5,1
63,168,55.0,80.0,89.0,1
86,194,65.2,93.8,106.0,0
59,162,52.3,77.0,86.0,1
88,196,66.0,94.5,107.0,0
79,186,62.0,90.5,102.0,0
70,174,57.0,83.5,92.5,0
65,168,54.5,79.5,88.5,1
82,192,64.0,92.0,105.0,0
68,174,57.5,83.8,93.0,0
81,190,63.6,92.3,104.2,0
58,160,52.0,76.5,85.5,1
77,182,61.0,88.0,98.6,0
71,176,58.0,84.5,94.0,0
73,178,59.3,86.0,97.0,0
75,180,59.7,87.0,97.8,0
83,188,63.2,91.5,103.0,0
60,164,53.0,78.0,87.5,1
67,172,56.0,82.5,92.0,0
64,170,55.0,80.5,89.5,1
78,184,61.8,89.0,100.0,0
72,176,58.5,85.0,94.5,0
66,172,56.2,82.0,91.7,0
69,176,58.2,84.2,94.2,0
80,188,63.5,92.0,104.5,0
